Name,Gender,Region,Party,ScreenName,Position
Ms Michelle Rowland MP,F,"Greenway, New South Wales",Australian Labor Party,@MRowlandMP,
Hon Matt Thistlethwaite MP,M,"Kingsford Smith, New South Wales",Australian Labor Party,@MThistlethwaite,Deputy Chair of Standing Committee on Economics
Mr Nick Champion MP,M,"Wakefield, South Australia",Australian Labor Party,@NickChampionMP,"Deputy Chair of Joint Standing Committee on Foreign Affairs, Defence and Trade"
Ms Nicolle Flint MP,F,"Boothby, South Australia",Liberal Party of Australia,@NicolleFlint,
Mrs Nola Marino MP,F,"Forrest, Western Australia",Liberal Party of Australia,@NolaMarinoMP,Chief Government Whip
Mr Pat Conroy MP,M,"Shortland, New South Wales",Australian Labor Party,@PatConroy1,eputy Chair of Committee of Privileges and Members' InterestsDeputy Chair of Standing Committee on the Environment and Energy
Hon Paul Fletcher MP,M,"Bradfield, New South Wales",Liberal Party of Australia,@PaulFletcherMP,Minister for Families and Social Services
Hon Peter Dutton MP,M,"Dickson, Queensland",Liberal Party of Australia,@PeterDutton_MP,Minister for Home Affairs
Mr Peter Khalil MP,M,"Wills, Victoria",Australian Labor Party,@PeterKhalilMP,
Hon Bob Katter MP,M,"Kennedy, Queensland",Katter's Australian Party,@RealBobKatter,
Hon Richard Marles MP,M,"Corio, Victoria",Australian Labor Party,@RichardMarlesMP,
Mr Rob Mitchell MP,M,"McEwen, Victoria",Australian Labor Party,@RobMitchellMP,
Mr Ross Hart MP,M,"Bass, Tasmania",Australian Labor Party,@RossHartMP,Deputy Chair of Joint Standing Committee on Trade and Investment Growth
Mr Rowan Ramsey MP,M,"Grey, South Australia",Liberal Party of Australia,@RowanRamseyMP,Government WhipChair of Joint Standing Committee on the Parliamentary Library
Hon Scott Buchholz MP,M,"Wright, Queensland",Liberal Party of Australia,@ScottBuchholzMP,Assistant Minister for Roads and Transport
Hon Scott Morrison MP,M,"Cook, New South Wales",Liberal Party of Australia,@ScottMorrisonMP,Prime Minister
Hon Sharon Bird MP,F,"Cunningham, New South Wales",Australian Labor Party,@SharonBirdMP,"Deputy Chair of Standing Committee on Infrastructure, Transport and Cities"
Ms Sharon Claydon MP,F,"Newcastle, New South Wales",Australian Labor Party,@SharonClaydon,Deputy Chair of Joint Select Committee on oversight of the implementation of redress related recommendations of the Royal Commission into Institutional Responses to Child Sexual AbuseDeputy Chair of Standing Committee on Social Policy and Legal Affairs
Hon Shayne Neumann MP,M,"Blair, Queensland",Australian Labor Party,@ShayneNeumannMP,
Hon Sarah Henderson MP,F,"Corangamite, Victoria",Liberal Party of Australia,@SHendersonMP,Assistant Minister for Social ServicesHousing and Disability Services
Ms Susan Templeman MP,F,"Macquarie, New South Wales",Australian Labor Party,@stemplemanmp,
Mr Stephen Jones MP,M,"Whitlam, New South Wales",Australian Labor Party,@stephenjonesALP,
Mr Steve Georganas MP,M,"Hindmarsh, South Australia",Australian Labor Party,@stevegeorganas,"Deputy Chair of Standing Committee on Health, Aged Care and Sport"
Hon Steve Irons MP,M,"Swan, Western Australia",Liberal Party of Australia,@SteveIronsMP,Assistant Minister to the Prime Minister
Hon Steven Ciobo MP,M,"Moncrieff, Queensland",Liberal Party of Australia,@StevenCiobo,
Hon Stuart Robert MP,M,"Fadden, Queensland",Liberal Party of Australia,@stuartrobertmp,Assistant Treasurer
Ms Susan Lamb MP,F,"Longman, Queensland",Australian Labor Party,@SusanLambMP,"Deputy Chair of Standing Committee on Employment, Education and Training"
Hon Sussan Ley MP,F,"Farrer, New South Wales",Liberal Party of Australia,@sussanley,Assistant Minister for Regional Development and Territories
Hon Wayne Swan MP,M,"Lilley, Queensland",Australian Labor Party,@SwannyQLD,
Hon Tanya Plibersek MP,F,"Sydney, New South Wales",Australian Labor Party,@tanya_plibersek,Deputy Leader of the Opposition
Ms Terri Butler MP,F,"Griffith, Queensland",Australian Labor Party,@terrimbutler,
Mr Tim Watts MP,M,"Gellibrand, Victoria",Australian Labor Party,@TimWattsMP,Australian Labor Party
Mr Tim Wilson MP,M,"Goldstein, Victoria",Liberal Party of Australia,@TimWilsonMP,Chair of Standing Committee on Economics
Hon Tony Burke MP,M,"Watson, New South Wales",Australian Labor Party,@Tony_Burke,Manager of Opposition Business
Hon Tony Abbott MP,M,"Warringah, New South Wales",Liberal Party of Australia,@TonyAbbottMHR,
Hon Tony Smith MP,M,"Casey, Victoria",Liberal Party of Australia,@TonySmithMP,SpeakerChair of House CommitteeChair of Selection Committee
Mr Andrew Wilkie MP,M,"Denison, Tasmania",Independent,@WilkieMP,
Mr Tony Pasin MP,M,"Barker, South Australia",Liberal Party of Australia,,Chair of Standing Committee on Procedure
Ms Ged Kearney MP,F,"Batman, Victoria",Australian Labor Party,,Deputy Chair of Select Committee on Intergenerational Welfare Dependence
Mr Ross Vasta MP,M,"Bonner, Queensland",Liberal Party of Australia,,Liberal Party of Australia
Ms Justine Keay MP,F,"Braddon, Tasmania",Australian Labor Party,,
Mr Trevor Evans MP,M,"Brisbane, Queensland",Liberal Party of Australia,,
Hon Andrew Gee MP,M,"Calare, New South Wales",The Nationals,,Assistant Minister to the Deputy Prime Minister
Mr Andrew Hastie MP,M,"Canning, Western Australia",Liberal Party of Australia,,Chair of Parliamentary Joint Committee on Intelligence and Security
Hon Ed Husic MP,M,"Chifley, New South Wales",Australian Labor Party,,
Dr Anne Aly MP,F,"Cowan, Western Australia",Australian Labor Party,,
Mr Ted O'Brien MP,M,"Fairfax, Queensland",Liberal Party of Australia,,
Mr Chris Hayes MP,M,"Fowler, New South Wales",Australian Labor Party,,Chief Opposition Whip
Mr Josh Wilson MP,M,"Fremantle, Western Australia",Australian Labor Party,,Deputy Chair of Joint Standing Committee on the National Broadband Network
Ms Cathy O'Toole MP,F,"Herbert, Queensland",Australian Labor Party,,
"Ms Cathy McGowan AO, MP",F,"Indi, Victoria",Independent,,Minister for Jobs and Industrial RelationsMinister for Women
Hon Jenny Macklin MP,F,"Jagajaga, Victoria",Australian Labor Party,,
Hon Warren Entsch MP,M,"Leichhardt, Queensland",Liberal Party of Australia,,Chair of Joint Standing Committee on Northern Australia
Hon Warren Snowdon MP,M,"Lingiari, Northern Territory",Australian Labor Party,,Deputy Chair of Joint Standing Committee on Northern AustraliaDeputy Chair of Standing Committee on Indigenous Affairs
Dr Mike Freelander MP,M,"Macarthur, New South Wales",Australian Labor Party,,
Mr Tony Zappia MP,M,"Makin, South Australia",Australian Labor Party,,Deputy Chair of Parliamentary Standing Committee on Public Works
Hon Andrew Broad MP,M,"Mallee, Victoria",The Nationals,,
Mr Trent Zimmerman MP,M,"North Sydney, New South Wales",Liberal Party of Australia,,"Chair of Standing Committee on Health, Aged Care and Sport"
Mr Rick Wilson MP,M,"O'Connor, Western Australia",Liberal Party of Australia,,Chair of Standing Committee on Agriculture and Water Resources
Mr Patrick Gorman MP,M,"Perth, Western Australia",Australian Labor Party,,
Mr Ben Morton MP,M,"Tangney, Western Australia",Liberal Party of Australia,,Chair of Joint Standing Committee on the National Capital and External Territories
